codigo_plan,nombre_plan,tag_equipo,tipo,frecuencia_valor,frecuencia_unidad,duracion_estimada_h,especialidad,n_tecnicos,requiere_parada,requiere_buzo_rov,norma_referencia,fecha_ultima_ejecucion,activo,observaciones
PM-001,Inspeccion visual general de la monoboya,MB01-CAS-001,Inspeccion legal,1,Semanas,2,Estructuras,2,NO,NO,OCIMF SMOG,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-002,Inspeccion visual de mangueras flotantes,MB01-MGF-001,Inspeccion legal,1,Semanas,2,Estructuras,2,NO,NO,OCIMF GMPHOM 2009,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-003,Verificacion de luces de navegacion,MB01-ELE-001,Preventivo,1,Semanas,1,Electrica,1,NO,NO,DICAPI,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-004,Inspeccion de cubierta y barandas,MB01-CAS-003,Preventivo,1,Meses,2,Estructuras,2,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-005,Verificacion de estanqueidad de compartimentos,MB01-CAS-002,Preventivo,1,Meses,3,Estructuras,2,NO,NO,OCIMF SMOG,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-006,Mantenimiento de banco de baterias,MB01-ELE-004,Preventivo,1,Meses,2,Electrica,1,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-007,Limpieza de panel solar,MB01-ELE-003,Limpieza,1,Meses,1,Electrica,1,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-008,Inspeccion de extintores portatiles,MB01-SEG-001,Inspeccion legal,1,Meses,1,Estructuras,1,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-009,Inspeccion de aros salvavidas y senalizacion,MB01-SEG-002,Inspeccion legal,1,Meses,1,Estructuras,1,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-010,Inspeccion de boat landing y defensas,MB01-ACC-001,Preventivo,1,Meses,2,Estructuras,2,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
