codigo_plan,codigo_material,cantidad_por_ejecucion,obligatorio,observaciones
PM-001,MAT-032,2,SI,Arnes por cada tecnico
PM-001,MAT-033,2,SI,Chaleco por cada tecnico
PM-001,MAT-035,1,SI,Embarcacion de apoyo
PM-002,MAT-032,2,SI,
PM-002,MAT-033,2,SI,
PM-002,MAT-035,1,SI,
PM-003,MAT-023,1,NO,Limpieza de optica
PM-006,MAT-015,0,NO,Solo si la bateria no pasa la prueba de carga
PM-007,MAT-023,1,SI,
PM-007,MAT-024,2,SI,
PM-011,MAT-001,25,SI,Cantidad estimada - VALIDAR CON MANUAL
PM-011,MAT-023,2,SI,
PM-011,MAT-032,2,SI,
PM-012,MAT-001,5,SI,
PM-012,MAT-023,1,SI,
PM-017,MAT-030,1,SI,Torquimetro hidraulico
PM-017,MAT-009,0,NO,Reponer solo pernos danados
PM-017,MAT-010,0,NO,Reponer solo tuercas danadas
PM-018,MAT-028,1,SI,Electrodo de referencia
PM-018,MAT-036,1,SI,Cuadrilla de buceo
PM-018,MAT-035,1,SI,
PM-019,MAT-036,1,SI,
PM-019,MAT-035,1,SI,
PM-020,MAT-019,30,SI,Cantidad estimada por campana - VALIDAR
PM-020,MAT-020,15,SI,
PM-020,MAT-021,10,SI,
PM-020,MAT-022,20,SI,
PM-021,MAT-036,1,SI,
PM-021,MAT-035,1,SI,
PM-022,MAT-036,1,SI,
PM-022,MAT-035,1,SI,
PM-023,MAT-036,1,SI,
PM-024,MAT-031,1,SI,Bomba de prueba hidrostatica
PM-024,MAT-008,4,SI,Empaquetaduras nuevas al reconectar
PM-024,MAT-009,32,SI,Perneria nueva - VALIDAR CANTIDAD POR BRIDA
PM-024,MAT-010,32,SI,
PM-025,MAT-005,1,NO,Solo si la inspeccion detecta fuga
PM-026,MAT-032,3,SI,
PM-027,MAT-029,1,SI,Equipo de ultrasonido
PM-030,MAT-002,4,SI,Cantidad estimada - VALIDAR SEGUN CONSUMO MEDIDO
PM-030,MAT-036,1,SI,
PM-030,MAT-035,1,SI,
PM-031,MAT-011,1,SI,
PM-031,MAT-013,4,SI,
PM-032,MAT-008,8,SI,
PM-032,MAT-009,64,SI,
PM-032,MAT-010,64,SI,
PM-034,MAT-005,1,SI,
PM-035,MAT-004,1,SI,
PM-035,MAT-001,80,SI,Carga completa de grasa tras el overhaul
PM-036,MAT-006,5,SI,Reemplazo del tren completo - VALIDAR NUMERO DE TRAMOS
PM-036,MAT-008,10,SI,
PM-037,MAT-007,4,SI,VALIDAR NUMERO DE TRAMOS
PM-037,MAT-036,1,SI,
