codigo_oficial,codigo_provisional,codigo_padre,nivel,tipo_nodo,nombre,criticidad,fabricante,modelo,n_serie,fecha_instalacion,ubicacion_fisica,requiere_buzo_rov,estado,observaciones
,MB-01,,1,Monoboya,Monoboya MB-01,A,,,,,,NO,Operativa,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S01,MB-01,2,Subsistema,Casco y estructura flotante,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S02,MB-01,2,Subsistema,Rodamiento principal y girador,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S03,MB-01,2,Subsistema,Swivel y tuberias de producto,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S04,MB-01,2,Subsistema,Sistema de amarre de fondeo,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S05,MB-01,2,Subsistema,Sistema de amarre de buque,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S06,MB-01,2,Subsistema,Mangueras flotantes,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S07,MB-01,2,Subsistema,Mangueras submarinas,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S08,MB-01,2,Subsistema,PLEM y valvulas submarinas,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S09,MB-01,2,Subsistema,Sistema electrico y ayudas a la navegacion,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S10,MB-01,2,Subsistema,Proteccion catodica,A,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S11,MB-01,2,Subsistema,Seguridad y contraincendio,B,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S12,MB-01,2,Subsistema,Accesos y defensas,B,,,,,,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S01.CAS-001,MB-01.S01,3,Equipo,Casco flotante principal,A,,,,,Casco,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S01.CAS-002,MB-01.S01,3,Equipo,Compartimentos estancos de flotabilidad,A,,,,,Casco,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S01.CAS-003,MB-01.S01,3,Equipo,Cubierta principal y enchapado,B,,,,,Cubierta,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S01.CAS-004,MB-01.S01,3,Equipo,Escotillas de acceso a compartimentos,B,,,,,Cubierta,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S01.CAS-005,MB-01.S01,3,Equipo,Barandas y pasamanos,C,,,,,Cubierta,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S01.CAS-006,MB-01.S01,3,Equipo,Recubrimiento anticorrosivo,B,,,,,Casco,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S02.ROD-001,MB-01.S02,3,Equipo,Rodamiento principal (main bearing),A,,,,,Interior,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S02.ROD-002,MB-01.S02,3,Equipo,Mesa giratoria (turntable),A,,,,,Cubierta,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S02.ROD-003,MB-01.S02,3,Equipo,Sistema de lubricacion del rodamiento,A,,,,,Interior,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S02.ROD-004,MB-01.S02,3,Equipo,Perneria de fijacion del rodamiento,A,,,,,Interior,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S02.ROD-005,MB-01.S02,3,Equipo,Sellos del rodamiento principal,A,,,,,Interior,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
,MB-01.S03.SWV-001,MB-01.S03,3,Equipo,Swivel de producto,A,,,,,Cubierta,NO,Operativo,PROPUESTA - VALIDAR / FALTA CODIGO OFICIAL
