codigo_nodo,codigo_material,cantidad_referencial,observaciones
MB-01.S09.ELE-001,MAT-023,1,Limpieza de optica
MB-01.S09.ELE-004,MAT-015,0,Solo si la bateria no pasa la prueba de carga
MB-01.S09.ELE-003,MAT-023,1,PROPUESTA - VALIDAR
MB-01.S09.ELE-003,MAT-024,2,PROPUESTA - VALIDAR
MB-01.S02.ROD-003,MAT-001,25,Cantidad estimada - VALIDAR CON MANUAL
MB-01.S02.ROD-003,MAT-023,2,PROPUESTA - VALIDAR
MB-01.S03.SWV-005,MAT-001,5,PROPUESTA - VALIDAR
MB-01.S03.SWV-005,MAT-023,1,PROPUESTA - VALIDAR
MB-01.S02.ROD-004,MAT-009,0,Reponer solo pernos danados
MB-01.S02.ROD-004,MAT-010,0,Reponer solo tuercas danadas
MB-01.S01.CAS-006,MAT-019,30,Cantidad estimada por campana - VALIDAR
MB-01.S01.CAS-006,MAT-020,15,PROPUESTA - VALIDAR
MB-01.S01.CAS-006,MAT-021,10,PROPUESTA - VALIDAR
MB-01.S01.CAS-006,MAT-022,20,PROPUESTA - VALIDAR
MB-01.S06.MGF-001,MAT-008,4,Empaquetaduras nuevas al reconectar
MB-01.S06.MGF-001,MAT-009,32,Perneria nueva - VALIDAR CANTIDAD POR BRIDA
MB-01.S06.MGF-001,MAT-010,32,PROPUESTA - VALIDAR
MB-01.S03.SWV-001,MAT-005,1,Solo si la inspeccion detecta fuga
MB-01.S10.PCA-001,MAT-002,4,Cantidad estimada - VALIDAR SEGUN CONSUMO MEDIDO
MB-01.S05.AMB-001,MAT-011,1,PROPUESTA - VALIDAR
MB-01.S05.AMB-001,MAT-013,4,PROPUESTA - VALIDAR
MB-01.S03.SWV-002,MAT-005,1,PROPUESTA - VALIDAR
MB-01.S02.ROD-001,MAT-004,1,PROPUESTA - VALIDAR
MB-01.S02.ROD-001,MAT-001,80,Carga completa de grasa tras el overhaul
MB-01.S06.MGF-001,MAT-006,5,Reemplazo del tren completo - VALIDAR NUMERO DE TRAMOS
MB-01.S07.MGS-001,MAT-007,4,VALIDAR NUMERO DE TRAMOS
