terminal,monoboya,codigo_sistema,nombre_sistema,criticidad_sistema,tag_equipo,descripcion_equipo,fabricante,modelo,n_serie,fecha_instalacion,criticidad_equipo,ubicacion_fisica,requiere_buzo_rov,estado,observaciones
TER-01,MB-01,SIS-01,Casco y estructura flotante,A,MB01-CAS-001,Casco flotante principal,,,,,A,Casco,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-01,Casco y estructura flotante,A,MB01-CAS-002,Compartimentos estancos de flotabilidad,,,,,A,Casco,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-01,Casco y estructura flotante,A,MB01-CAS-003,Cubierta principal y enchapado,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-01,Casco y estructura flotante,A,MB01-CAS-004,Escotillas de acceso a compartimentos,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-01,Casco y estructura flotante,A,MB01-CAS-005,Barandas y pasamanos,,,,,C,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-01,Casco y estructura flotante,A,MB01-CAS-006,Recubrimiento anticorrosivo,,,,,B,Casco,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-02,Rodamiento principal y girador,A,MB01-ROD-001,Rodamiento principal (main bearing),,,,,A,Interior,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-02,Rodamiento principal y girador,A,MB01-ROD-002,Mesa giratoria (turntable),,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-02,Rodamiento principal y girador,A,MB01-ROD-003,Sistema de lubricacion del rodamiento,,,,,A,Interior,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-02,Rodamiento principal y girador,A,MB01-ROD-004,Perneria de fijacion del rodamiento,,,,,A,Interior,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-02,Rodamiento principal y girador,A,MB01-ROD-005,Sellos del rodamiento principal,,,,,A,Interior,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-03,Swivel y tuberias de producto,A,MB01-SWV-001,Swivel de producto,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-03,Swivel y tuberias de producto,A,MB01-SWV-002,Sellos del swivel,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-03,Swivel y tuberias de producto,A,MB01-SWV-003,Tuberia interna de producto,,,,,A,Interior,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-03,Swivel y tuberias de producto,A,MB01-SWV-004,Manifold de cubierta,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-03,Swivel y tuberias de producto,A,MB01-SWV-005,Valvulas de bola de producto,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-03,Swivel y tuberias de producto,A,MB01-SWV-006,Bridas y empaquetaduras de producto,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-001,Cadena de fondeo linea 1,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE LINEAS
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-002,Cadena de fondeo linea 2,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE LINEAS
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-003,Cadena de fondeo linea 3,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE LINEAS
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-004,Cadena de fondeo linea 4,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE LINEAS
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-005,Cadena de fondeo linea 5,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE LINEAS
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-006,Cadena de fondeo linea 6,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE LINEAS
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-007,Grilletes y conectores de fondeo,,,,,A,Submarino,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-008,Chain stoppers de fondeo,,,,,A,Casco,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-04,Sistema de amarre de fondeo,A,MB01-FON-009,Anclas o pilotes de fondeo,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-05,Sistema de amarre de buque,A,MB01-AMB-001,Hawser principal de amarre,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-05,Sistema de amarre de buque,A,MB01-AMB-002,Hawser de reserva,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-05,Sistema de amarre de buque,A,MB01-AMB-003,Chafe chain (cadena de roce),,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-05,Sistema de amarre de buque,A,MB01-AMB-004,Grilletes de amarre de buque,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-05,Sistema de amarre de buque,A,MB01-AMB-005,Pick-up rope y boya de recogida,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-05,Sistema de amarre de buque,A,MB01-AMB-006,Chain stopper de amarre de buque,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-06,Mangueras flotantes,A,MB01-MGF-001,Manguera flotante tramo 1 (rail end),,,,,A,Superficie,NO,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-06,Mangueras flotantes,A,MB01-MGF-002,Manguera flotante tramo 2,,,,,A,Superficie,NO,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-06,Mangueras flotantes,A,MB01-MGF-003,Manguera flotante tramo 3,,,,,A,Superficie,NO,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-06,Mangueras flotantes,A,MB01-MGF-004,Manguera flotante tramo 4,,,,,A,Superficie,NO,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-06,Mangueras flotantes,A,MB01-MGF-005,Manguera de acople a buque (tail hose),,,,,A,Superficie,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-06,Mangueras flotantes,A,MB01-MGF-006,Acople de rotura controlada (MBC),,,,,A,Superficie,NO,Operativo,PROPUESTA - VALIDAR SI EXISTE
TER-01,MB-01,SIS-06,Mangueras flotantes,A,MB01-MGF-007,Bridas y perneria de mangueras flotantes,,,,,B,Superficie,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-07,Mangueras submarinas,A,MB01-MGS-001,Manguera submarina tramo 1,,,,,A,Submarino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-07,Mangueras submarinas,A,MB01-MGS-002,Manguera submarina tramo 2,,,,,A,Submarino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-07,Mangueras submarinas,A,MB01-MGS-003,Manguera submarina tramo 3,,,,,A,Submarino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-07,Mangueras submarinas,A,MB01-MGS-004,Manguera submarina tramo 4,,,,,A,Submarino,SI,Operativo,PROPUESTA - VALIDAR NUMERO DE TRAMOS
TER-01,MB-01,SIS-07,Mangueras submarinas,A,MB01-MGS-005,Boyas de flotacion de mangueras submarinas,,,,,B,Submarino,SI,Operativo,PROPUESTA - VALIDAR CONFIGURACION
TER-01,MB-01,SIS-08,PLEM y valvulas submarinas,A,MB01-PLM-001,Estructura del PLEM,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-08,PLEM y valvulas submarinas,A,MB01-PLM-002,Valvulas submarinas del PLEM,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-08,PLEM y valvulas submarinas,A,MB01-PLM-003,Bridas y conexiones del PLEM,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-08,PLEM y valvulas submarinas,A,MB01-PLM-004,Tuberia submarina de conexion a tierra,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR ALCANCE
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-001,Luz de navegacion principal,,,,,A,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-002,Luces de navegacion secundarias,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-003,Panel solar,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-004,Banco de baterias,,,,,A,Interior,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-005,Tablero electrico y controlador de carga,,,,,A,Interior,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-006,Racon o reflector radar,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR SI EXISTE
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-007,Senal sonora de niebla,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR SI EXISTE
TER-01,MB-01,SIS-09,Sistema electrico y ayudas a la navegacion,A,MB01-ELE-008,Sistema de telemetria y monitoreo remoto,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR SI EXISTE
TER-01,MB-01,SIS-10,Proteccion catodica,A,MB01-PCA-001,Anodos de sacrificio del casco,,,,,A,Casco,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-10,Proteccion catodica,A,MB01-PCA-002,Anodos de cadenas de fondeo,,,,,A,Submarino,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-10,Proteccion catodica,A,MB01-PCA-003,Anodos del PLEM,,,,,A,Fondo marino,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-10,Proteccion catodica,A,MB01-PCA-004,Puntos de medicion de potencial,,,,,B,Casco,SI,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-11,Seguridad y contraincendio,B,MB01-SEG-001,Extintores portatiles,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-11,Seguridad y contraincendio,B,MB01-SEG-002,Aros salvavidas,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-11,Seguridad y contraincendio,B,MB01-SEG-003,Detector de gas portatil,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-11,Seguridad y contraincendio,B,MB01-SEG-004,Senalizacion de seguridad,,,,,C,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-12,Accesos y defensas,B,MB01-ACC-001,Boat landing,,,,,B,Casco,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-12,Accesos y defensas,B,MB01-ACC-002,Defensas perimetrales,,,,,B,Casco,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-12,Accesos y defensas,B,MB01-ACC-003,Escalas de acceso,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR
TER-01,MB-01,SIS-12,Accesos y defensas,B,MB01-ACC-004,Pescante o grua de izaje,,,,,B,Cubierta,NO,Operativo,PROPUESTA - VALIDAR SI EXISTE
